ref	value
C1	10uF
C2	10uF
C3	22uF
C4	22uF
C5	10pF
C6	10pF
C7	0.1uF
C8	0.1uF
C9	0.01uF
C10	0.1uF
C11	0.1uF
C12	1.0uF
C13	0.01uF
C14	2.2uF
C15	0.1uF
C16	0.01uF
C17	1.0uF
C18	0.1uF
C19	0.1uF
C20	10uF
C21	10uF
C22	0.1uF
C23	0.1uF
C24	10uF
C25	10uF
C26	0.1uF
C27	0.1uF
C28	1uF
C29	0.1uF
D1	DIODE
D2	3.5V
D3	3.5V
D4	LED
D5	LED
D6	LED
F1	FUSE
J1	TIVA_JTAG_HEADER
K1	CONN_3
K2	CONN_3
P1	CONN_6
P2	CONN_4
P3	CONN_2
P4	CONN_2
P5	CONN_4
P6	CONN_4
P7	CONN_4
P8	CONN_4
P9	CONN_4
P10	CONN_2
P11	CONN_2
P12	CONN_2
P13	CONN_2
R1	R
R2	R
R3	R
R4	R
R5	R
R6	0R
R7	10k
R8	100k
R9	100k
R10	100k
R11	100k
R12	220
R13	47k
R14	220
R15	47k
R16	220
R17	47k
R18	1k
R19	1k
SW1	SW_PUSH
SW2	SPST
SW3	SW_PUSH
U1	TSL262R
U2	AL5802
U3	TSL262R
U4	TM4C123GH6PM
U5	TB6612FNG
U6	TB6612FNG
U7	QRE1113GR
U8	QRE1113GR
U9	QRE1113GR
U10	MMA8653FC
VR1	AP1117
VR2	AP1117
X1	QUARTZCMS4
